"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"3","Cassius Winston","PG","Detroit, MIUniv. of Detroit Jesuit High School","6'1''","177","89","Michigan St","cassius-winston","https://www.sports-reference.com/cbb/players/cassius-winston-1.html"
"4","Austin Davis","C","Onsted, MIOnsted High School","6'10''","240","79","Michigan","austin-davis","https://www.sports-reference.com/cbb/players/austin-davis-1.html"
"5","Devon Daniels","SG","Kalamazoo, MIProlific Prep","6'4''","185","79","Utah","devon-daniels","https://www.sports-reference.com/cbb/players/devon-daniels-1.html"
"6","Al Eichelberger","PF","Saginaw, MISaginaw High School","6'7''","225","75","DePaul","al-eichelberger","https://www.sports-reference.com/cbb/players/al-eichelberger-1.html"
"1","Amir Coffey","SF","Minnetonka, MNHopkins High School","6'7''","195","89","Minnesota","amir-coffey","https://www.sports-reference.com/cbb/players/amir-coffey-1.html"
"2","Michael Hurt","PF","Rochester, MNJohn Marshall High School","6'7''","185","79","Minnesota","michael-hurt","https://www.sports-reference.com/cbb/players/michael-hurt-1.html"
"3","Reed Nikko","C","Maple Grove, MNMaple Grove High School","6'8''","","77","Missouri","reed-nikko","https://www.sports-reference.com/cbb/players/reed-nikko-1.html"
"1","Mario Kegler","SF","Jackson, MSOak Hill Academy","6'8''","218","86","Miss. St","mario-kegler","https://www.sports-reference.com/cbb/players/mario-kegler-1.html"
"2","Tyson Carter","PG","Starkville, MSStarkville Academy","6'4''","170","80","Miss. St","tyson-carter","https://www.sports-reference.com/cbb/players/tyson-carter-1.html"
"3","Darius Hicks","PF","Quitman, MS22ft Academy","6'7''","230","75","NC State","darius-hicks","https://www.sports-reference.com/cbb/players/darius-hicks-1.html"
"4","Damien Moore","C","Vaughn, MSCallaway High School","6'11''","210","70","Temple","damien-moore","https://www.sports-reference.com/cbb/players/damien-moore-1.html"
"1","Jayson Tatum","SF","Saint Louis, MOChaminade College Prep","6'8''","175","97","Duke","jayson-tatum","https://www.sports-reference.com/cbb/players/jayson-tatum-1.html"
"2","Tyler Cook","PF","Saint Louis, MOChaminade College Prep","6'9''","240","87","Iowa","tyler-cook","https://www.sports-reference.com/cbb/players/tyler-cook-1.html"
"3","Xavier Sneed","SF","Saint Louis, MOHazelwood Central High School","6'5''","190","79","Kansas St","xavier-sneed","https://www.sports-reference.com/cbb/players/xavier-sneed-1.html"
"4","Will Gladson","C","Saint Louis, MOChaminade College Prep","6'10''","","74","Princeton","will-gladson","https://www.sports-reference.com/cbb/players/will-gladson-1.html"
"1","Zach Collins","C","Las Vegas, NVBishop Gorman High School","6'11''","220","88","Gonzaga","zach-collins","https://www.sports-reference.com/cbb/players/zach-collins-1.html"
