"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height","Weight","Rating.espn","School","player.id","bball.ref.link.espn","Previous.National.Ranking","Name.247","Hometown","Position.247","Height.Weight","Rating.247","All Ratings","National.Ranking.247","Position.Ranking","State.Ranking","bball.ref.link.247","Name","Position","Height.Weight","Hometown","High.School","College"
54,"Darius Perry","PG","Powder Springs, GAWheeler High School","6'2''",160,86,"Louisville","darius-perry","https://www.sports-reference.com/cbb/players/darius-perry-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Darius Perry","        Guard  ","6-2, 170lb (188cm, 77kg) ","   Marietta, GA","   Joseph Wheeler High School","Louisville"
55,"Jordan Goodwin","SG","Belleville, ILAlthoff Catholic High School","6'4''",220,86,"Saint Louis","jordan-goodwin","https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan Goodwin","        Guard  ","6-3, 215lb (190cm, 97kg) ","   CENTREVILLE, IL","   Althoff Catholic High School","Saint Louis"
56,"Jordan Nwora","PF","Buffalo, NYVermont Academy","6'8''",220,86,"Louisville","jordan-nwora","https://www.sports-reference.com/cbb/players/jordan-nwora-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan Nwora","        Forward  ","6-8, 215lb (203cm, 97kg) ","   Buffalo, NY","   Canisius High School","Louisville"
58,"Khalil Garland","SF","Little Rock, ARParkview Arts & Science Magnet High","6'6''",190,86,"Arkansas","khalil-garland","https://www.sports-reference.com/cbb/players/khalil-garland-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Khalil Garland","        Guard  ","6-5, 198lb (196cm, 89kg) ","   Little Rock, AR","   Parkview HS","Arkansas"
59,"Jaylen Nowell","SG","Seattle, WAGarfield High School","6'5''",191,86,"Washington","jaylen-nowell","https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jaylen Nowell","        Guard  ","6-4, 200lb (193cm, 90kg) ","   Seattle, WA","   Garfield High School","Washington"
60,"Daejon Davis","SG","Seattle, WAGarfield High School","6'4''",175,86,"Stanford","daejon-davis","https://www.sports-reference.com/cbb/players/daejon-davis-1.html",58,"Daejon Davis","Garfield (Seattle, WA)","CG","6-3 / 170",0.9809,"50 3 3",50,3,3,"https://www.sports-reference.com/cbb/players/daejon-davis-1.html","Daejon Davis","        Guard  ","6-3, 175lb (190cm, 79kg) ","   Seattle, WA","   Garfield High School","Stanford"
61,"Terrence Lewis","SF","Milwaukee, WIRiverside University High School","6'5''",195,85,"Iowa State","terrence-lewis","https://www.sports-reference.com/cbb/players/terrence-lewis-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrence Lewis","        Guard  ","6-6, 198lb (198cm, 89kg) ","   Milwaukee, WI","   Riverside High School","Iowa State"
62,"Isaiah Stokes","C","Memphis, TNIMG Academy","6'8''",273,85,"Florida","isaiah-stokes","https://www.sports-reference.com/cbb/players/isaiah-stokes-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isaiah Stokes","        Forward  ","6-8, 270lb (203cm, 122kg) ","   Memphis, TN","   IMG Academy","Florida"
64,"Marcus Garrett","PG","Dallas, TXSkyline High School","6'5''",180,85,"Kansas","marcus-garrett","https://www.sports-reference.com/cbb/players/marcus-garrett-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marcus Garrett","        Guard  ","6-5, 180lb (196cm, 81kg) ","   Dallas, TX","   Skyline High School","Kansas"
66,"Jemarl Baker","SG","Eastvale, CARoosevelt High School","6'4''",180,85,"Kentucky","jemarl-baker","https://www.sports-reference.com/cbb/players/jemarl-baker-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jemarl Baker Jr.","        Guard  ","6-4, 192lb (193cm, 87kg) ","   Menifee, CA","   Eleanor Roosevelt HS","Kentucky"
