"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"2756",5,"Elijah Weaver",15,NA,NA,NA,12.9,5,16,0.312,2,3,0.667,1,6,0.167,194,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2757",20,"Jerome Merritt",13,NA,NA,NA,12.1,4,10,0.4,0,0,0,0,1,0,157,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2758",2,"Eric Hester",11,NA,NA,NA,12.7,6,12,0.5,2,2,1,1,4,0.25,140,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2759",NA,"Antwann Jones",8,NA,NA,NA,9.9,3,10,0.3,0,0,0,3,6,0.5,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2760",24,"Jhakheem Smith",5,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,70,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2761",13,"Dontay Bassett",5,NA,NA,NA,9.6,6,14,0.429,0,2,0,0,0,0,48,14,8.4,3,4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2762",10,"Carlos Acevedo",3,NA,NA,NA,7.7,0,1,0,0,0,0,0,1,0,23,12,NA,NA,NA,NA,0,0,0,0,4,1.3,0,0,4,1.3,0
"2763",1,"Troy Baxter",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,3,2,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2764",20,"Jerome Merritt",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3,1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2765",12,"LJ Figueroa",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,7,8,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2766",NA,"Antwann Jones",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0,6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2767",5,"Elijah Weaver",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,4,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2768",5,"Elijah Weaver",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,5.9,5,0.4,0,0,0,0,3,0.2,0
"2769",NA,"Antwann Jones",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4.2,3,0.6,1,0.2,0,0,1,0.2,0
"2770",2,"Eric Hester",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2.7,6,1,11,1.8,1,0.2,5,0.8,0
"2771",12,"LJ Figueroa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.4,8,0.9,27,3,0,0,4,0.4,0
"2772",1,"Troy Baxter",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.3,2,0.3,0,0,14,2,2,0.3,0
"2773",13,"Dontay Bassett",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,2,0.7,2,0.7,4,1.3,6,2,0
"2774",24,"Jhakheem Smith",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12,4,0,0,0,0,0
"2775",12,"LJ Figueroa",5,NA,NA,NA,17.2,0,0,0,0,0,0,0,0,0,86,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2776",1,"Troy Baxter",4,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,60,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
