"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"1942",NA,"PJ Stephens",2,NA,NA,NA,7.5,3,10,0.3,0,0,0,1,3,0.333,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943",42,"Johnny McNeill",2,NA,NA,NA,2,1,1,1,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",NA,"Mike Okauru",1,NA,NA,NA,21,0,0,0,0,0,0,0,0,0,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",NA,"Marquis Godwin",1,0,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,0,0,0,0,4,4,0
"1946",NA,"John Fulkerson",1,0,26,26,14,7,13,0.538,0,0,0,0,1,0,14,14,8,1,7,8,0,0,3,3,3,3,1,1,3,3,0
"1947",NA,"Christian Nichola",1,0,9,9,3,0,3,0,3,3,1,0,3,0,3,3,2,0,2,2,1,1,1,1,0,0,0,0,1,1,0
"1948",NA,"Zach Reeves",1,1,15,15,0,0,2,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,1,0
"1949",2,"Williams Fleming",1,1,20,20,8,2,4,0.5,4,4,1,0,2,0,8,8,3,1,2,3,1,1,1,1,0,0,0,0,2,2,0
"1950",10,"James West",1,1,22,22,2,1,7,0.143,0,0,0,0,4,0,2,2,2,2,0,2,3,3,4,4,0,0,0,0,1,1,0
"1951",11,"Matt Halvorson",1,1,20,20,11,3,10,0.3,2,3,0.667,3,6,0.5,11,11,NA,NA,NA,NA,1,1,3,3,2,2,0,0,0,0,0
"1952",NA,"Seth Scott",1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0
"1953",1,"Justin Rhode",1,0,12,12,2,1,3,0.333,0,2,0,0,0,0,2,2,NA,NA,NA,NA,1,1,2,2,0,0,0,0,1,1,0
"1954",4,"Morgan McKay",1,0,15,15,3,1,2,0.5,1,2,0.5,0,1,0,3,3,4,1,3,4,2,2,3,3,0,0,0,0,5,5,0
"1955",12,"Jacob Conerly",1,0,3,3,2,1,2,0.5,0,0,0,0,0,0,2,2,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,1,0
"1956",NA,"Marquis Godwin",2,NA,NA,NA,11,4,8,0.5,0,0,0,2,5,0.4,22,12,4.5,0,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",15,"Steven Rwahwire",1,1,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,5,1,1,0,0,2,2,0
"1958",1,"Daniel Sackey",1,1,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,4,4,4,4,2,2,0,0,2,2,0
"1959",30,"Wheza Panzo",1,1,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,6,12,1,1,2,2,2,2,0,0,1,1,0
"1960",43,"Olawale Odofin",1,1,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,5,0,0,4,4,0,0,0,0,3,3,0
"1961",10,"James Shodimu",1,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,0,2,2,0,0,0,0,2,2,0
"1962",33,"Raymond Smith",1,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,2,9,0,0,0,0,2,2,1,1,3,3,0
"1963",44,"Uglijesa Portic",1,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,0,0,0,0,0,0,0,0,4,4,0
"1964",52,"Tony Chukwuemeke",1,0,14,14,4,1,5,0.2,2,2,1,0,0,0,4,4,3,0,3,3,0,0,1,1,1,1,0,0,1,1,0
"1965",54,"Ousmane Ndim",1,1,12,12,1,0,3,0,1,2,0.5,0,0,0,1,1,4,2,2,4,0,0,1,1,0,0,0,0,1,1,0
"1966",15,"Steven Rwahwire",4,NA,NA,NA,16.5,4,12,0.333,0,0,0,0,2,0,66,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",30,"Wheza Panzo",3,NA,NA,NA,12.3,4,12,0.333,0,0,0,0,1,0,37,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",1,"Daniel Sackey",3,NA,NA,NA,6.3,2,12,0.167,1,9,0.111,0,2,0,19,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",33,"Raymond Smith",2,NA,NA,NA,7.5,6,14,0.429,1,4,0.25,0,1,0,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",44,"Uglijesa Portic",2,NA,NA,NA,4.5,0,1,0,2,2,1,0,0,0,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",43,"Olawale Odofin",2,NA,NA,NA,3,2,4,0.5,0,0,0,0,0,0,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972",24,"__ Darling",1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973",10,"James Shodimu",2,NA,NA,NA,1,0,5,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",15,"Steven Rwahwire",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",33,"Nick Claxton",3,3,85,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",50,"Tyrell Mendenhall",3,0,22,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",32,"Jashaun Smith",3,3,89,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",24,"Miguel Priest",3,3,71,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979",12,"Mohamed Touray",3,3,89,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980",22,"Deshaun Leftwich",3,0,37,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",3,"Iziah James",3,3,80,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",23,"Anthony Slaton",2,0,15,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",21,"CJ Jamison",2,0,2,1,2.5,1,1,1,0,0,0,0,0,0,5,3,1,1,0,2,0,0,1,0.5,0,0,0,0,2,1,0
"1984",40,"Darrion Clinton",1,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",3,"Iziah James",13,NA,NA,NA,11.7,6,23,0.261,4,4,1,3,12,0.25,152,23,NA,NA,NA,NA,63,4.8,7,0.5,15,1.2,1,0.1,12,0.9,0
"1986",32,"Jashaun Smith",11,NA,NA,NA,13.5,15,29,0.517,11,13,0.846,3,6,0.5,148,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",12,"Mohamed Touray",10,NA,NA,NA,14.3,12,35,0.343,6,8,0.75,1,10,0.1,143,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988",33,"Nick Claxton",11,NA,NA,NA,12.8,15,39,0.385,6,10,0.6,5,12,0.417,141,23,8.2,12,16,90,19,1.7,6,0.5,16,1.5,32,2.9,15,1.4,0
"1989",24,"Miguel Priest",10,NA,NA,NA,10.9,7,23,0.304,5,8,0.625,0,0,0,109,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990",50,"Tyrell Mendenhall",9,NA,NA,NA,5.8,3,6,0.5,1,1,1,0,0,0,52,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991",22,"Deshaun Leftwich",7,NA,NA,NA,6.9,8,16,0.5,2,3,0.667,3,7,0.429,48,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992",23,"Anthony Slaton",6,NA,NA,NA,4.5,3,9,0.333,0,0,0,0,3,0,27,11,NA,NA,NA,NA,5,0.8,5,0.8,4,0.7,1,0.2,3,0.5,0
"1993",40,"Darrion Clinton",5,NA,NA,NA,4.4,1,1,1,2,2,1,0,0,0,22,9,3.8,2,2,19,3,0.6,3,0.6,2,0.4,3,0.6,5,1,0
"1994",3,"Iziah James",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2,8,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995",32,"Jashaun Smith",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,11,15,65,2,0.2,9,0.9,7,0.7,19,1.9,11,1.1,0
"1996",24,"Miguel Priest",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,11,11,66,7,0.8,12,1.3,15,1.7,5,0.6,10,1.1,0
"1997",12,"Mohamed Touray",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,4,19,60,27,3,12,1.3,9,1,2,0.2,7,0.8,0
"1998",50,"Tyrell Mendenhall",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999",22,"Deshaun Leftwich",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,18,5,0.8,8,1.3,4,0.7,0,0,18,3,0
"2000",23,"Anthony Slaton",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",44,"Jared Ritter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,1,0
"2002",50,"Tyrell Mendenhall",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0.7,2,0.3,3,0.5,5,0.8,0
"2003",4,"Abdulhakim Ado",2,2,57,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",12,"Therren Shelton-Szmidt",2,2,62,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",22,"Shai Gilgeous-Alexander",2,2,66,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",15,"Nickeil Alexander-Walker",2,1,66,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",24,"Ezekiel Balogun",2,0,23,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",33,"Silas Adheke",2,2,51,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",1,"Mohammed Abubakar",1,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",21,"CJ Massengill",1,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",12,"Therren Shelton-Szmidt",16,NA,NA,NA,15.9,51,128,0.398,12,17,0.706,26,73,0.356,255,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",22,"Shai Gilgeous-Alexander",17,NA,NA,NA,13.9,52,107,0.486,38,41,0.927,12,24,0.5,236,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",15,"Nickeil Alexander-Walker",16,NA,NA,NA,14.4,47,107,0.439,22,33,0.667,25,59,0.424,231,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",4,"Abdulhakim Ado",14,NA,NA,NA,6.9,23,41,0.561,7,14,0.5,0,0,0,97,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015",33,"Silas Adheke",11,NA,NA,NA,8.4,30,56,0.536,12,20,0.6,3,9,0.333,92,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016",24,"Ezekiel Balogun",11,NA,NA,NA,7,21,52,0.404,21,32,0.656,2,8,0.25,77,13,6.2,20,43,68,10,0.9,16,1.5,12,1.1,6,0.5,18,1.6,0
"2017",1,"Mohammed Abubakar",7,NA,NA,NA,4,10,21,0.476,8,16,0.5,0,0,0,28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018",21,"CJ Massengill",5,NA,NA,NA,3,4,8,0.5,4,7,0.571,1,3,0.333,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019",10,"Darryle Pitts",2,NA,NA,NA,3,3,6,0.5,0,0,0,0,1,0,6,6,1,0,2,2,2,1,4,2,1,0.5,0,0,0,0,0
"2020",11,"Vlad Chiriac",2,NA,NA,NA,2.5,1,5,0.2,2,2,1,1,4,0.25,5,5,3.5,1,6,7,2,1,1,0.5,0,0,0,0,0,0,0
"2021",22,"Shai Gilgeous-Alexander",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,12,24,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022",15,"Nickeil Alexander-Walker",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5,30,36,41,3.2,19,1.5,32,2.5,3,0.2,15,1.2,0
"2023",4,"Abdulhakim Ado",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,37,65,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024",12,"Therren Shelton-Szmidt",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,23,24,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025",33,"Silas Adheke",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,38,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2026",1,"Mohammed Abubakar",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,9,21,30,7,0.9,4,0.5,8,1,0,0,24,3,0
"2027",21,"CJ Massengill",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2028",22,"Shai Gilgeous-Alexander",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,5.6,21,1.5,19,1.4,3,0.2,8,0.6,0
"2029",4,"Abdulhakim Ado",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1.8,17,1.7,9,0.9,25,2.5,30,3,0
"2030",12,"Therren Shelton-Szmidt",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.5,11,1,13,1.2,1,0.1,15,1.4,0
"2031",21,"CJ Massengill",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.7,3,0.5,2,0.3,0,0,9,1.5,0
"2032",33,"Silas Adheke",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.4,10,1.1,8,0.9,6,0.7,14,1.6,0
"2033",15,"Nickeil Alexander-Walker",1,NA,NA,NA,17,0,0,0,0,0,0,0,0,0,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2034",22,"Shai Gilgeous-Alexander",1,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035",12,"Therren Shelton-Szmidt",1,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2036",NA,"Anthony Cowan",1,1,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2037",NA,"Jeffrey Dowtin Jr.",1,0,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2038",NA,"Kylia Sykes",1,0,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,0,0,4,4,0
"2039",NA,"Anthony Cowan",12,NA,NA,NA,25.7,9,18,0.5,8,10,0.8,7,3,0.333,308,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040",NA,"Jeffrey Dowtin Jr.",6,NA,NA,NA,14.7,6,9,0.667,6,7,0.857,3,3,1,88,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041",NA,"Kylia Sykes",5,NA,NA,NA,11.2,3,5,0.6,1,3,0.333,0,0,0,56,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2042",NA,"DeJuan Clayton",3,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,39,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2043",NA,"Reece Mona",1,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2044",NA,"Emanuel Hylton",1,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2045",NA,"Richard Njoku",1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2046",NA,"Tre Wood",1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2047",NA,"Anthony Cowan",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,1,7,23,15,5,4,1.3,5,1.7,1,0.3,2,0.7,0
"2048",NA,"Kylia Sykes",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2049",NA,"Jeffrey Dowtin Jr.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0,2,7,6,3,2,1,1,0.5,3,1.5,1,0.5,0
"2050",NA,"DeJuan Clayton",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2051",NA,"Anthony Cowan",1,NA,NA,NA,29,0,0,0,0,0,0,0,0,0,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2052",NA,"Jeffrey Dowtin Jr.",1,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2053",NA,"DeJuan Clayton",1,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2054",NA,"Kylia Sykes",1,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2055",23,"Martins Igbanu",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2056",23,"Martins Igbanu",9,NA,NA,NA,22.8,41,81,0.506,25,30,0.833,1,5,0.2,205,28,12.8,22,34,115,30,3.3,12,1.3,7,0.8,8,0.9,11,1.2,0
"2057",10,"Camren Ennis",5,NA,NA,NA,15.4,36,61,0.59,1,2,0.5,3,7,0.429,77,24,NA,NA,NA,NA,9,1.8,7,1.4,12,2.4,1,0.2,5,1,0
"2058",24,"Delvin Lightsey",5,NA,NA,NA,12.2,27,53,0.509,4,6,0.667,3,19,0.158,61,16,NA,NA,NA,NA,19,3.8,8,1.6,7,1.4,1,0.2,5,1,1
"2059",41,"Roche Grootfaam",6,NA,NA,NA,8.3,17,34,0.5,1,2,0.5,0,0,0,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2060",42,"Christopher Agbo",6,NA,NA,NA,8.3,11,23,0.478,5,10,0.5,0,0,0,50,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2061",5,"Massamba Dioum",4,NA,NA,NA,10,8,19,0.421,4,4,1,3,7,0.429,40,17,8.2,5,21,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2062",3,"Jose Benitez",5,NA,NA,NA,7.8,14,38,0.368,8,13,0.615,2,10,0.2,39,13,NA,NA,NA,NA,27,5.4,12,2.4,13,2.6,1,0.2,9,1.8,0
"2063",32,"Promise Igbanu",5,NA,NA,NA,3,7,11,0.636,0,3,0,1,1,1,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2064",21,"Santiago Belalcazar",4,NA,NA,NA,3,4,11,0.364,2,4,0.5,2,5,0.4,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065",33,"Javier Farfan",1,NA,NA,NA,0,0,2,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0
"2066",45,"Christian Lora",2,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0.5,0,0,1,0.5,2,1,0
"2067",42,"Christopher Agbo",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,12,27,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2068",41,"Roche Grootfaam",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,6,9,23,3,0.6,3,0.6,3,0.6,6,1.2,13,2.6,0
"2069",3,"Jose Benitez",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2070",10,"Camren Ennis",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,11,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2071",32,"Promise Igbanu",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,10,12,4,1,6,1.5,3,0.8,0,0,4,1,0
"2072",24,"Delvin Lightsey",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2073",33,"Javier Farfan",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2074",20,"Jean Paul Thompson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"2075",45,"Christian Lora",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2076",21,"Santiago Belalcazar",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,3,0.6,0,0,6,1.2,0
"2077",5,"Massamba Dioum",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3,8,2.7,4,1.3,1,0.3,3,1,0
"2078",42,"Christopher Agbo",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2,11,2.2,4,0.8,3,0.6,10,2,0
"2079",NA,"Bruno Solomun",1,1,29,29,18,8,11,0.727,0,0,0,2,4,0.5,18,18,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
