"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
3,"Deng Adel","SF","Bradenton, FLVictory Rock Prep","6'7''",190,88,"Louisville","deng-adel","https://www.sports-reference.com/cbb/players/deng-adel-1.html","https://www.sports-reference.com/cbb/players/deng-adel-1.html","Deng Adel","        Forward  ","6-7, 190lb (201cm, 86kg) ","   Melbourne, Australia","   Victoria Rock Prep HS","Louisville"
4,"Prince Ali","SG","Pembroke Pines, FLThe Sagemont School","6'4''",180,87,"UCLA","prince-ali","https://www.sports-reference.com/cbb/players/prince-ali-1.html","https://www.sports-reference.com/cbb/players/prince-ali-1.html","Prince Ali","        Guard  ","6-4, 195lb (193cm, 88kg) ","   The Bronx, NY","   The Sagemont School (FL)","UCLA"
5,"Maverick Rowan","SF","Fort Lauderdale, FLCardinal Gibbons High School","6'6''",190,86,"NC State","maverick-rowan","https://www.sports-reference.com/cbb/players/maverick-rowan-1.html","https://www.sports-reference.com/cbb/players/maverick-rowan-1.html","Maverick Rowan","        Guard  ","6-7, 215lb (201cm, 97kg) ","   Fort Lauderdale, FL","   Elevate (FL)","NC State"
6,"Corey Sanders","PG","Lakeland, FLFaith Baptist Christian Academy","6'2''",170,85,"Rutgers","corey-sanders","https://www.sports-reference.com/cbb/players/corey-sanders-1.html","https://www.sports-reference.com/cbb/players/corey-sanders-2.html","Corey Sanders","        Guard  ","6-2, 175lb (188cm, 79kg) ","   Lakeland, FL","   Faith Baptist Christian School","Rutgers"
7,"Kevarrius Hayes","PF","Live Oak, FLSuwannee High School","6'9''",190,85,"Florida","kevarrius-hayes","https://www.sports-reference.com/cbb/players/kevarrius-hayes-1.html","https://www.sports-reference.com/cbb/players/kevarrius-hayes-1.html","Kevarrius Hayes","        Center-Forward  ","6-9, 227lb (206cm, 102kg) ","   Live Oak, FL","   Suwanee HS","Florida"
8,"Keith Stone","SF","Deerfield Beach, FLZion Lutheran Christian School","6'7''",240,83,"Florida","keith-stone","https://www.sports-reference.com/cbb/players/keith-stone-1.html","https://www.sports-reference.com/cbb/players/keith-stone-1.html","Keith Stone","        Forward  ","6-8, 253lb (203cm, 114kg) ","   Deerfield Beach, FL","   Zion Lutheran HS","Florida"
9,"Haanif Cheatham","SG","Fort Lauderdale, FLPembroke Pines Charter School","6'5''",175,83,"Marquette","haanif-cheatham","https://www.sports-reference.com/cbb/players/haanif-cheatham-1.html","https://www.sports-reference.com/cbb/players/haanif-cheatham-1.html","Haanif Cheatham","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Fort Lauderdale, FL","   Pembroke Pines HS","Schools: Marquette and Florida Gulf Coast"
10,"Anthony Lawrence Jr.","SF","Saint Petersburg, FLLakewood Senior High School","6'7''",185,81,"Miami","anthony-lawrencejr","https://www.sports-reference.com/cbb/players/anthony-lawrencejr-1.html","https://www.sports-reference.com/cbb/players/anthony-lawrencejr-1.html","Anthony Lawrence Jr.","        Guard-Forward  ","6-7, 207lb (201cm, 93kg) ","   St. Petersburg, FL","   Lakewood Senior HS","Miami (FL)"
11,"Tacko Fall","C","Tavares, FLLiberty Christian Prep","7'5''",270,81,"UCF","tacko-fall","https://www.sports-reference.com/cbb/players/tacko-fall-1.html","https://www.sports-reference.com/cbb/players/tacko-fall-1.html","Tacko Fall","        Center  ","7-6, 310lb (229cm, 140kg) ","   Dakar, Senegal","   Liberty Christian Prep (FL)","UCF"
13,"Deng Riak","C","Bradenton, FLVictory Rock Prep","6'10''",215,80,"East Carolina","deng-riak","https://www.sports-reference.com/cbb/players/deng-riak-1.html","https://www.sports-reference.com/cbb/players/deng-riak-1.html","Deng Riak","        Forward-Center  ","6-10, 225lb (208cm, 102kg) ","   Melbourne, Australia","   Victory Rock Prep HS","Schools: East Carolina and Akron"
14,"Eric Cobb","C","Jacksonville, FLPotters House Christian","6'9''",245,80,"South Carolina","eric-cobb","https://www.sports-reference.com/cbb/players/eric-cobb-1.html","https://www.sports-reference.com/cbb/players/eric-cobb-1.html","Eric Cobb","        Forward  ","6-9, 249lb (206cm, 112kg) ","   Jacksonville, FL","   St. Francis Academy (MD)","Schools: South Carolina and UConn"
15,"Kerry Blackshear Jr.","PF","Orlando, FLMaynard Evans High School","6'9''",220,80,"Virginia Tech","kerry-blackshearjr","https://www.sports-reference.com/cbb/players/kerry-blackshearjr-1.html","https://www.sports-reference.com/cbb/players/kerry-blackshearjr-1.html","Kerry Blackshear Jr.","        Forward  ","6-10, 250lb (208cm, 113kg) ","   Orlando, FL","   Maynard Evans HS","Virginia Tech"
18,"John Collins","PF","West Palm Beach, FLCardinal Newman High School","6'8''",221,80,"Wake Forest","john-collins","https://www.sports-reference.com/cbb/players/john-collins-1.html","https://www.sports-reference.com/cbb/players/john-collins-1.html","John Collins","        Forward  ","6-10, 218lb (208cm, 98kg) ","   West Palm Beach, FL","   Cardinal Newman HS","Wake Forest"
19,"Ryan McMahon","SG","Sarasota, FLCardinal Mooney High School","6'1''",165,80,"Louisville","ryan-mcmahon","https://www.sports-reference.com/cbb/players/ryan-mcmahon-1.html","https://www.sports-reference.com/cbb/players/ryan-mcmahon-1.html","Ryan McMahon","        Guard  ","6-0, 180lb (183cm, 81kg) ","   Sarasota, FL","   Cardinal Mooney HS","Louisville"
20,"Yankuba Sima","C","Jacksonville, FLElev8 Basketball Academy","6'11''",215,79,"St. John's","yankuba-sima","https://www.sports-reference.com/cbb/players/yankuba-sima-1.html","https://www.sports-reference.com/cbb/players/yankuba-sima-1.html","Yankuba Sima","        Forward-Center  ","6-11, 205lb (211cm, 92kg) ","   Girona, Spain","   Elev8 Institute","Schools: St. John's (NY) and Oklahoma State"
